Player,Player ID,Age,Speciality,Days in Academy,WC X,Stage N,Description,Last Match Date,Season,Week,B_GK,B_CD,B_WB,B_IM,B_W,B_F,L_GK,L_CD,L_WB,L_IM,L_W,L_F,Last Match Details,Country,Last update
Andrzej Zwierzyk,324572260,17.059,Q,100,WC 37,5,Continental Championship  Matchday 3,11/10/2024,89,4,-1,-1,-1,5,6,-1,-1.0,-1.0,-1.0,4.5,4.5,-1.0,25.05.2023 pomocnik (90'),Polska,30.05.2023
Ariel Prusinowski,326751318,16.083,P,72,WC 37,20,World Cup - Round I  Matchday 5,03/01/2025,89,16,-1,5,6.5,-1,-1,-1,-1.0,5.0,5.5,-1.0,-1.0,-1.0,25.05.2023 boczny_obronca (90'),Polska,30.05.2023
Bronislaw Plewka,328268442,15.094,P,44,WC 37,40,World Cup - Round V  Matchday 3,18/04/2025,90,15,2,-1,-1,-1,4.5,7,-1.0,-1.0,-1.0,-1.0,4.5,6.0,25.05.2023 skrzydlowy (90'),Polska,30.05.2023
Gerard Firlag,317996282,17.004,Q,219,WC 37,14,Continental Championship - Semifinals,02/12/2024,89,12,-1,6,4.5,-1,4,-1,-1.0,5.0,-1.0,-1.0,-1.0,-1.0,25.05.2023 stoper (90'),Polska,30.05.2023
Igor Gurbin,319814404,17.048,,148,WC 37,7,Continental Championship  Matchday 5,18/10/2024,89,5,-1,6,6.5,-1,-1,-1,-1.0,5.0,5.0,-1.0,-1.0,-1.0,25.05.2023 stoper (90'),Polska,30.05.2023
Jakub Lagodowski,314194753,18.063,,275,WC 36,23,World Cup - Round I  Matchday 8,14/06/2024,88,3,6.5,-1,2.5,-1,-1,-1,5.5,-1.0,-1.0,-1.0,-1.0,-1.0,18.05.2023 bramkarz (90'),Polska,30.05.2023
Lech Stanasiuk,320411169,18.024,,184,WC 36,31,World Cup - Round II  Matchday 6,26/07/2024,88,9,-1,-1,-1,-1,5.5,8.5,-1.0,-1.0,-1.0,-1.0,-1.0,7.0,25.05.2023 napastnik (90'),Polska,30.05.2023
Leszek Kurczuk,325928190,16.032,,79,WC 37,29,World Cup - Round II  Matchday 4,24/02/2025,90,8,-1,5,5,-1,-1,-1,-1.0,4.5,5.0,-1.0,-1.0,-1.0,18.05.2023 stoper (90'),Polska,30.05.2023
Marek Ciszewicz,325288989,16.053,,50,WC 37,24,World Cup - Round I  Matchday 9,31/01/2025,90,4,-1,-1,5.5,-1,-1,6.5,-1.0,-1.0,5.5,-1.0,-1.0,5.5,25.05.2023 boczny_obronca (90'),Polska,30.05.2023
Marian Brodzik,315370333,17.103,,240,WC 36,37,World Cup - Round IV  Matchday 3,23/08/2024,88,13,-1,6.5,6.5,-1,-1,-1,-1.0,5.0,5.0,-1.0,-1.0,-1.0,25.05.2023 stoper (90'),Polska,30.05.2023
Przemyslaw Mitrenga,320082940,16.078,U,177,WC 37,21,World Cup - Round I  Matchday 6,10/01/2025,90,1,-1,-1,-1,5,5.5,-1,-1.0,-1.0,-1.0,-1.0,4.5,-1.0,25.05.2023 skrzydlowy (90'),Polska,30.05.2023
Szymon Szydlowski,315306807,18.025,,226,WC 36,30,World Cup - Round II  Matchday 5,19/07/2024,88,8,-1,-1,-1,6,5.5,9,-1.0,-1.0,-1.0,6.0,5.5,7.0,25.05.2023 napastnik (90'),Polska,30.05.2023
Waldemar Dutkiewicz,316082077,18.033,,254,WC 36,29,World Cup - Round II  Matchday 4,15/07/2024,88,8,-1,5,5.5,-1,-1,9,-1.0,4.5,4.5,-1.0,-1.0,6.5,18.05.2023 boczny_obronca (44'),Polska,30.05.2023
Adam Farciuch,325883342,16.030,T,79,WC 37,30,World Cup - Round II  Matchday 5,28/02/2025,90,8,-1,2.5,-1,-1,-1,6.5,-1.0,2.5,-1.0,-1.0,-1.0,6.5,29.05.2023 napastnik (90'),Polska,30.05.2023
Jerzy Ceberek,323421198,16.038,,114,WC 37,28,World Cup - Round II  Matchday 3,21/02/2025,90,7,-1,6,-1,4.5,-1,-1,-1.0,6.0,-1.0,4.5,-1.0,-1.0,29.05.2023 stoper (90'),Polska,30.05.2023
Patryk Biegas,322025642,16.048,,142,WC 37,25,World Cup - Round I  Matchday 10,07/02/2025,90,5,1,-1,-1,5,4.5,5,1.0,-1.0,-1.0,5.0,4.5,-1.0,29.05.2023 pomocnik (90'),Polska,30.05.2023
Radomil Kornacki,313866398,18.019,P,191,WC 36,31,World Cup - Round II  Matchday 6,26/07/2024,88,9,1,1,3,3,4.5,-1,1.0,-1.0,3.0,3.0,-1.0,-1.0,29.05.2023 boczny_obronca (90'),Polska,30.05.2023
Stephan Schau,324544007,17.033,,93,WC 37,9,Continental Championship  Matchday 7,01/11/2024,89,7,5,-1,-1,0.5,-1,-1,5.0,-1.0,-1.0,0.5,-1.0,-1.0,29.05.2023 bramkarz (90'),Polska,30.05.2023
Tomasz Slomczynski,318974992,17.053,T,100,WC 37,6,Continental Championship  Matchday 4,14/10/2024,89,5,-1,3,-1,-1,6,-1,-1.0,3.0,-1.0,-1.0,5.0,-1.0,29.05.2023 skrzydlowy (90'),Polska,30.05.2023
Waldemar Astramowicz,325861941,16.027,,44,WC 37,30,World Cup - Round II  Matchday 5,28/02/2025,90,8,-1,4,-1,5.5,-1,-1,-1.0,4.0,-1.0,5.5,-1.0,-1.0,29.05.2023 stoper (90'),Polska,30.05.2023
W. Guzek,476000186,17.097,P,-2,WC 36,39,World Cup - Round V  Matchday 2,02/09/2024,88,15,-1,7,-1,-1,-1,-1,-1.0,7.0,-1.0,-1.0,-1.0,-1.0,-----,Polska,05.05.2023
Roman Lubecki,323289977,17.089,,121,WC 36,41,World Cup - Semifinals,09/09/2024,88,16,1.5,4.5,4,3.5,3,5,-1.0,4.5,4.0,3.5,-1.0,5.0,27.05.2023 pomocnik (90'),Polska,30.05.2023
Jakub Kupaj,322605191,16.056,,114,WC 37,24,World Cup - Round I  Matchday 9,31/01/2025,90,4,4,2,-1,1,-1,-1,4.0,2.0,-1.0,1.0,-1.0,-1.0,27.05.2023 bramkarz (90'),Polska,30.05.2023
Miroslaw Techmanski,321720559,16.052,,107,WC 37,25,World Cup - Round I  Matchday 10,07/02/2025,90,5,-1,3,4,5,6,6.5,-1.0,-1.0,-1.0,5.0,6.0,6.5,27.05.2023 skrzydlowy (90'),Polska,30.05.2023
Patryk Bancer,323126783,16.036,T,100,WC 37,28,World Cup - Round II  Matchday 3,21/02/2025,90,7,0.5,1.5,2.5,3,4.5,3.5,0.5,1.5,2.5,3.0,4.5,3.5,27.05.2023 stoper (90'),Polska,30.05.2023
Jozef Szwarocki,323276826,16.104,H,93,WC 37,17,World Cup - Round I  Matchday 2,16/12/2024,89,14,-1,5,5.5,4,-1,-1,-1.0,5.0,5.5,-1.0,-1.0,-1.0,27.05.2023 boczny_obronca (90'),Polska,30.05.2023
Ireneusz Orda,326145422,16.086,,86,WC 37,20,World Cup - Round I  Matchday 5,03/01/2025,89,16,-1,4.5,4.5,3.5,-1,4.5,-1.0,4.5,4.5,3.5,-1.0,4.5,27.05.2023 pomocnik (90'),Polska,30.05.2023
Michal Borysewicz,324188697,16.017,,79,WC 37,32,World Cup - Round III  Matchday 1,14/03/2025,90,10,-1,2.5,3.5,5.5,6,-1,-1.0,2.5,3.5,5.5,5.5,-1.0,27.05.2023 skrzydlowy (90'),Polska,30.05.2023
Marek Widecki,326151305,16.008,,51,WC 37,34,World Cup - Round III  Matchday 3,21/03/2025,90,11,-1,2.5,3,3,4,6,-1.0,2.5,3.0,3.0,4.0,6.0,27.05.2023 boczny_obronca (90'),Polska,30.05.2023
Cyprian Kozarski,323529502,17.066,T,129,WC 37,3,Continental Championship  Matchday 1,04/10/2024,89,3,0.5,1,-1,2,2,4.5,0.5,-1.0,-1.0,2.0,2.0,4.5,27.05.2023 napastnik (90'),Polska,30.05.2023
Damian Mikolajewski,323529501,17.090,,129,WC 36,41,World Cup - Semifinals,09/09/2024,88,16,-1,1,1.5,2.5,2.5,3,-1.0,1.0,-1.0,2.5,2.5,3.0,27.05.2023 napastnik (90'),Polska,30.05.2023
Daniel Balmas,323529504,17.013,Q,129,WC 37,12,Continental Championship  Matchday 10,22/11/2024,89,10,-1,3,3,2.5,2.5,4,-1.0,-1.0,-1.0,2.5,2.5,4.0,24.05.2023 napastnik (90'),Polska,30.05.2023
Jozef Woszczyna,323529498,18.014,,129,WC 36,33,World Cup - Round III  Matchday 2,05/08/2024,88,11,-1,-1,-1,3.5,4,3.5,-1.0,-1.0,-1.0,3.5,4.0,3.5,24.05.2023 napastnik (90'),Polska,30.05.2023
Leslaw Kielich,323529497,18.012,,129,WC 36,33,World Cup - Round III  Matchday 2,05/08/2024,88,11,1,2.5,3,2,2.5,2.5,1.0,-1.0,3.0,2.0,-1.0,-1.0,11.04.2023 boczny_obronca (90'),Polska,30.05.2023
Pawel Samulski,323891495,17.009,,65,WC 37,13,Continental Championship - Quarterfinals,29/11/2024,89,11,2,-1,4,-1,-1,-1,2.0,-1.0,4.0,-1.0,-1.0,-1.0,20.05.2023 boczny_obronca (90'),Polska,30.05.2023
Aleksy Kuik,310882048,18.039,,287,WC 36,27,World Cup - Round II  Matchday 2,08/07/2024,88,7,1.5,-1,3,3,3,2,1.5,-1.0,-1.0,-1.0,-1.0,-1.0,28.05.2023 bramkarz (90'),Polska,30.05.2023
Bogdan Zolnierowicz,319671797,18.004,H,179,WC 36,34,World Cup - Round III  Matchday 3,09/08/2024,88,11,-1,-1,-1,-1,4.5,4.5,-1.0,-1.0,-1.0,-1.0,4.5,-1.0,28.05.2023 skrzydlowy (90'),Polska,30.05.2023
Bogusz Kapla,324894453,16.063,,42,WC 37,23,World Cup - Round I  Matchday 8,24/01/2025,90,3,1.5,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,23.04.2023 bramkarz (20'),Polska,30.05.2023
Bronislaw Wojtaszczyk,315240334,17.098,T,211,WC 36,39,World Cup - Round V  Matchday 2,02/09/2024,88,15,-1,4,-1,5.5,-1,-1,-1.0,-1.0,-1.0,5.5,-1.0,-1.0,28.05.2023 pomocnik (90'),Polska,30.05.2023
Gawel Gintel,317367378,17.030,,162,WC 37,10,Continental Championship  Matchday 8,08/11/2024,89,8,-1,-1,-1,4.5,4.5,-1,-1.0,-1.0,-1.0,4.5,4.5,-1.0,02.04.2023 pomocnik (90'),Polska,30.05.2023
Grzegorz Sobieski,324910384,16.003,T,66,WC 37,35,World Cup - Round IV  Matchday 1,28/03/2025,90,12,1,2.5,-1,-1,-1,-1,-1.0,2.5,-1.0,-1.0,-1.0,-1.0,23.04.2023 bramkarz (41'),Polska,30.05.2023
Gustaw Kalczynski,311740778,19.004,U,260,WC 36,14,Continental Championship - Semifinals,22/04/2024,87,12,-1,-1,-1,-1,4.5,8,-1.0,-1.0,-1.0,-1.0,-1.0,8.0,21.05.2023 napastnik (90'),Polska,30.05.2023
Hubert Soroko,323266998,16.062,H,49,WC 37,23,World Cup - Round I  Matchday 8,24/01/2025,90,3,-1,-1,-1,-1,-1,7,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,14.05.2023 napastnik (9'),Polska,30.05.2023
Igor Burczak,308210109,18.102,,275,WC 36,17,World Cup - Round I  Matchday 2,06/05/2024,87,14,1,2.5,-1,4,3.5,-1,-1.0,-1.0,-1.0,-1.0,3.5,-1.0,28.05.2023 skrzydlowy (90'),Polska,30.05.2023
Lucjan Necki,327662449,16.037,T,57,WC 37,28,World Cup - Round II  Matchday 3,21/02/2025,90,7,-1,-1,-1,5.5,-1,-1,-1.0,-1.0,-1.0,5.5,-1.0,-1.0,28.05.2023 pomocnik (90'),Polska,30.05.2023
Marek Drzewinski,312097786,18.056,,218,WC 36,24,World Cup - Round I  Matchday 9,21/06/2024,88,4,-1,-1,-1,4,-1,8,-1.0,-1.0,-1.0,-1.0,-1.0,8.0,28.05.2023 napastnik (90'),Polska,30.05.2023
Marian Grzegorzek,308426793,18.104,,238,WC 36,17,World Cup - Round I  Matchday 2,06/05/2024,87,14,-1,2,-1,4.5,-1,-1,-1.0,-1.0,-1.0,4.5,-1.0,-1.0,28.05.2023 pomocnik (90'),Polska,30.05.2023
Oskar Kurlapski,318589521,17.031,,101,WC 37,10,Continental Championship  Matchday 8,08/11/2024,89,8,-1,4.5,-1,5,-1,4,-1.0,4.5,-1.0,-1.0,-1.0,-1.0,28.05.2023 stoper (90'),Polska,30.05.2023
Tomasz Dziubinski,321261409,17.080,,92,WC 37,1,Friendly,20/09/2024,89,1,-1,2,-1,-1,-1,-1,-1.0,2.0,-1.0,-1.0,-1.0,-1.0,28.05.2023 stoper (90'),Polska,30.05.2023
Zachary Typek,323814328,16.092,T,86,WC 37,19,World Cup - Round I  Matchday 4,27/12/2024,89,15,-1,4.5,-1,-1,-1,-1,-1.0,4.5,-1.0,-1.0,-1.0,-1.0,28.05.2023 stoper (90'),Polska,30.05.2023
Artur Rynowiecki,264851233,26.008,Q,1141,WC 36,,Final,,,,0.5,-1,2,-1,-1,-1,0.5,-1.0,-1.0,-1.0,-1.0,-1.0,28.03.2021 bramkarz (0'),Polska,30.05.2023
Boguslaw Czerwiak,264851234,25.084,,1141,WC 36,,Final,,,,1.5,3.5,4,-1,-1,-1,-1.0,-1.0,4.0,-1.0,-1.0,-1.0,04.04.2021 bramkarz (0'),Polska,30.05.2023
David Strohmenger,264851244,26.062,,1141,WC 36,,Final,,,,-1,-1,-1,-1,-1,2.5,-1.0,-1.0,-1.0,-1.0,-1.0,2.5,31.01.2021 napastnik (90'),Polska,30.05.2023
Filip Borowka,264851239,26.028,T,1141,WC 36,,Final,,,,-1,-1,-1,2,2.5,-1,-1.0,-1.0,-1.0,1.5,2.5,-1.0,07.03.2021 skrzydlowy (90'),Polska,30.05.2023
Igor Smolik,264851238,25.080,,1141,WC 36,,Final,,,,-1,-1,2,3.5,3,-1,-1.0,-1.0,2.0,-1.0,-1.0,-1.0,04.04.2021 stoper (0'),Polska,30.05.2023
Jacek Cieplinski,264851246,26.023,,1141,WC 36,,Final,,,,-1,-1,-1,-1,-1,4.5,-1.0,-1.0,-1.0,-1.0,-1.0,4.5,07.03.2021 napastnik (90'),Polska,30.05.2023
Jan Stelmaszewski,264851235,26.018,,1141,WC 36,,Final,,,,-1,1.5,-1,-1,-1,-1,-1.0,1.5,-1.0,-1.0,-1.0,-1.0,07.03.2021 stoper (90'),Polska,30.05.2023
Kamil Pala,264851232,26.046,U,1141,WC 36,,Final,,,,0.5,-1,-1,-1,-1,-1,0.5,-1.0,-1.0,-1.0,-1.0,-1.0,14.02.2021 bramkarz (90'),Polska,30.05.2023
Marcin Iwan,264851241,26.073,,1141,WC 36,,Final,,,,-1,-1,-1,-1,3,3,-1.0,-1.0,-1.0,-1.0,3.0,3.0,17.01.2021 skrzydlowy (90'),Polska,30.05.2023
Marian Szymanski,264851237,25.093,,1141,WC 36,,Final,,,,-1,1.5,2.5,-1,4,-1,-1.0,1.5,-1.0,-1.0,-1.0,-1.0,04.04.2021 boczny_obronca (0'),Polska,30.05.2023
Patryk Hulak,264851243,25.105,,1141,WC 36,,Final,,,,-1,-1,-1,2,3,2.5,-1.0,-1.0,-1.0,2.0,-1.0,-1.0,04.04.2021 boczny_obronca (0'),Polska,30.05.2023
Piotr Foksowicz,264851245,25.023,,1141,WC 36,,Final,,,,-1,-1,-1,-1,4.5,4,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,13.06.2021 bramkarz (0'),Polska,30.05.2023
Slawomir Bujacz,264851240,25.068,H,1141,WC 36,,Final,,,,-1,-1,-1,3.5,3,-1,-1.0,-1.0,-1.0,3.5,-1.0,-1.0,04.04.2021 stoper (0'),Polska,30.05.2023
Tadeusz Szymiczek,264851242,26.060,,1141,WC 36,,Final,,,,-1,-1,-1,-1,2.5,2.5,-1.0,-1.0,-1.0,-1.0,2.5,2.0,31.01.2021 skrzydlowy (90'),Polska,30.05.2023
Adrian Zawierta,317731501,18.008,,183,WC 36,34,World Cup - Round III  Matchday 3,09/08/2024,88,11,2,-1,-1,5,-1,5,-1.0,-1.0,-1.0,5.0,-1.0,5.0,29.05.2023 bramkarz (16'),Polska,30.05.2023
Aleksander Borowczyk,315154569,17.051,,239,WC 37,7,Continental Championship  Matchday 5,18/10/2024,89,5,-1,5,4.5,4.5,4.5,3,-1.0,5.0,-1.0,4.5,-1.0,-1.0,29.05.2023 stoper (90'),Polska,30.05.2023
Dawid Walczyk,311288500,18.110,T,302,WC 36,15,Continental Championship - Finals,26/04/2024,87,12,-1,5,4.5,3.5,4,-1,-1.0,5.0,4.5,-1.0,-1.0,-1.0,29.05.2023 stoper (90'),Polska,30.05.2023
Edward Dumin,309426996,18.094,,211,WC 36,19,World Cup - Round I  Matchday 4,17/05/2024,87,15,-1,2.5,4,2,5,-1,-1.0,2.5,-1.0,-1.0,5.0,-1.0,29.05.2023 skrzydlowy (90'),Polska,30.05.2023
Edward Sajdowski,311314274,18.105,P,226,WC 36,17,World Cup - Round I  Matchday 2,06/05/2024,87,14,-1,-1,-1,4,6,3,-1.0,-1.0,-1.0,3.5,6.0,-1.0,01.05.2023 skrzydlowy (90'),Polska,30.05.2023
Konstanty Niedzwiecki,321021378,17.052,U,77,WC 37,7,Continental Championship  Matchday 5,18/10/2024,89,5,-1,-1,-1,5,-1,-1,-1.0,-1.0,-1.0,5.0,-1.0,-1.0,29.05.2023 pomocnik (90'),Polska,30.05.2023
Pawel Lukianiuk,317280705,18.089,,219,WC 36,19,World Cup - Round I  Matchday 4,17/05/2024,87,15,-1,-1,-1,-1,3.5,7,-1.0,-1.0,-1.0,-1.0,3.5,7.0,17.04.2023 skrzydlowy (90'),Polska,30.05.2023
Piotr Grabowy,317517562,18.050,,204,WC 36,25,World Cup - Round I  Matchday 10,28/06/2024,88,5,-1,-1,-1,-1,-1,7,-1.0,-1.0,-1.0,-1.0,-1.0,7.0,22.05.2023 napastnik (90'),Polska,30.05.2023
Radomir Narkiewicz,309210471,18.082,,317,WC 36,20,World Cup - Round I  Matchday 5,24/05/2024,87,16,5,2,-1,0.5,1,-1,5.0,2.0,-1.0,-1.0,-1.0,-1.0,29.05.2023 bramkarz (74'),Polska,30.05.2023
Rafal Knol,324234433,17.024,H,99,WC 37,11,Continental Championship  Matchday 9,15/11/2024,89,9,-1,-1,-1,5.5,5,-1,-1.0,-1.0,-1.0,5.5,5.0,-1.0,29.05.2023 skrzydlowy (90'),Polska,30.05.2023
Stanislaw Matkowski,319580271,18.052,P,197,WC 36,25,World Cup - Round I  Matchday 10,28/06/2024,88,5,-1,-1,-1,6.5,-1,-1,-1.0,-1.0,-1.0,6.5,-1.0,-1.0,29.05.2023 pomocnik (90'),Polska,30.05.2023
Tobiasz Pospiech,313475589,18.048,,233,WC 36,25,World Cup - Round I  Matchday 10,28/06/2024,88,5,-1,-1,-1,4,5.5,5,-1.0,-1.0,-1.0,4.0,5.5,-1.0,17.04.2023 pomocnik (90'),Polska,30.05.2023
Wojciech Cejba,320586584,17.020,,120,WC 37,11,Continental Championship  Matchday 9,15/11/2024,89,9,-1,-1,-1,-1,2.5,5,-1.0,-1.0,-1.0,-1.0,2.5,5.0,29.05.2023 napastnik (90'),Polska,30.05.2023
Emil Pyszka,322173821,16.063,,154,WC 37,23,World Cup - Round I  Matchday 8,24/01/2025,90,3,1,3,3,1,3,-1,1.0,2.0,-1.0,1.0,-1.0,-1.0,11.05.2023 pomocnik (90'),Polska,30.05.2023
Ferdynand Kokoszka,324747775,16.031,,100,WC 37,30,World Cup - Round II  Matchday 5,28/02/2025,90,8,-1,5,5,-1,-1,-1,-1.0,5.0,5.0,-1.0,-1.0,-1.0,25.05.2023 stoper (90'),Polska,30.05.2023
F. Wikarski,475930612,17.064,,-2,WC 37,3,Continental Championship  Matchday 1,04/10/2024,89,3,-1,1.5,2.5,3,5,5,-1.0,-1.0,-1.0,3.0,4.0,5.0,-----,Polska,05.05.2023
Krzysztof Rek,318269456,17.009,,86,WC 37,13,Continental Championship - Quarterfinals,29/11/2024,89,11,1.5,2.5,3.5,5,5,6,1.5,2.5,3.5,4.5,5.0,6.0,25.05.2023 napastnik (90'),Polska,30.05.2023
M. Wyzga,476440714,18.000,,-2,WC 36,36,World Cup - Round IV  Matchday 2,19/08/2024,88,13,-1,3.5,4.5,5.5,5.5,7,-1.0,3.5,-1.0,5.5,-1.0,-1.0,-----,Polska,16.05.2023
M. Trojanczyk,476601789,17.010,,-1,WC 37,13,Continental Championship - Quarterfinals,29/11/2024,89,11,1.5,3.5,3.5,3,3,2,1.5,3.5,3.5,3.0,3.0,-1.0,-----,Polska,30.05.2023
Nikodem Ciechacki,322914931,16.072,T,93,WC 37,22,World Cup - Round I  Matchday 7,17/01/2025,90,2,-1,2.5,3,4,4,4.5,-1.0,2.5,3.0,4.0,4.0,4.5,25.05.2023 napastnik (90'),Polska,30.05.2023
Przemyslaw Swieboda,321968896,16.052,Q,149,WC 37,25,World Cup - Round I  Matchday 10,07/02/2025,90,5,2,5,5,5.5,5,-1,2.0,5.0,5.0,5.5,5.0,-1.0,25.05.2023 skrzydlowy (90'),Polska,30.05.2023
Tobiasz Ciszak,324498877,16.017,H,51,WC 37,32,World Cup - Round III  Matchday 1,14/03/2025,90,10,1.5,2.5,-1,3,-1,-1,1.5,2.5,-1.0,3.0,-1.0,-1.0,25.05.2023 pomocnik (90'),Polska,30.05.2023
Waclaw Smolenski,322173813,16.106,,154,WC 37,16,World Cup - Round I  Matchday 1,13/12/2024,89,13,-1,3.5,4,3.5,4.5,4,-1.0,3.5,-1.0,3.5,4.5,-1.0,25.05.2023 stoper (90'),Polska,30.05.2023
Waclaw Stec,322173808,16.067,,154,WC 37,22,World Cup - Round I  Matchday 7,17/01/2025,90,2,1,2.5,3.5,3.5,4,4,-1.0,-1.0,-1.0,2.5,4.0,-1.0,25.05.2023 pomocnik (90'),Polska,30.05.2023
Witold Kasperek,323246106,16.025,,128,WC 37,30,World Cup - Round II  Matchday 5,28/02/2025,90,8,-1,5.5,6,5.5,6,-1,-1.0,5.5,6.0,-1.0,6.0,-1.0,25.05.2023 skrzydlowy (90'),Polska,30.05.2023
Andrzej Smierzchalski,323694260,16.081,,128,WC 37,20,World Cup - Round I  Matchday 5,03/01/2025,89,16,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,--------,Polska,30.05.2023
Bartek Ratajszczak,323694247,16.031,,128,WC 37,30,World Cup - Round II  Matchday 5,28/02/2025,90,8,-1,1.5,-1,-1,-1,-1,-1.0,1.5,-1.0,-1.0,-1.0,-1.0,30.05.2023 stoper (90'),Polska,30.05.2023
Bohdan Baj,323694259,17.030,,128,WC 37,10,Continental Championship  Matchday 8,08/11/2024,89,8,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,--------,Polska,30.05.2023
Daniel Bidzinski,323694248,17.028,,128,WC 37,10,Continental Championship  Matchday 8,08/11/2024,89,8,-1,2.5,-1,-1,-1,-1,-1.0,2.5,-1.0,-1.0,-1.0,-1.0,30.05.2023 stoper (90'),Polska,30.05.2023
Franciszek Slezak,323694256,16.048,,128,WC 37,25,World Cup - Round I  Matchday 10,07/02/2025,90,5,-1,-1,-1,-1,-1,4.5,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,25.04.2023 napastnik (67'),Polska,30.05.2023
Gawel Kostecki,323694246,17.048,,128,WC 37,7,Continental Championship  Matchday 5,18/10/2024,89,5,-1,-1,1.5,-1,-1,-1,-1.0,-1.0,1.5,-1.0,-1.0,-1.0,30.05.2023 boczny_obronca (90'),Polska,30.05.2023
Hubert Gornikowski,323694257,16.024,,128,WC 37,31,World Cup - Round II  Matchday 6,07/03/2025,90,9,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,--------,Polska,30.05.2023
Igor Lesinski,323694250,16.078,,128,WC 37,21,World Cup - Round I  Matchday 6,10/01/2025,90,1,-1,-1,3,-1,4,-1,-1.0,-1.0,3.0,-1.0,4.0,-1.0,30.05.2023 skrzydlowy (90'),Polska,30.05.2023
Jurek Jung,323694255,17.051,,128,WC 37,7,Continental Championship  Matchday 5,18/10/2024,89,5,-1,-1,-1,-1,-1,4.5,-1.0,-1.0,-1.0,-1.0,-1.0,4.5,30.05.2023 napastnik (90'),Polska,30.05.2023
Konrad Merda,323694253,16.088,,128,WC 37,19,World Cup - Round I  Matchday 4,27/12/2024,89,15,-1,-1,-1,3,2.5,-1,-1.0,-1.0,-1.0,3.0,2.5,-1.0,30.05.2023 skrzydlowy (90'),Polska,30.05.2023
Leszek Wilk,323694254,16.108,U,128,WC 37,16,World Cup - Round I  Matchday 1,13/12/2024,89,13,-1,-1,-1,-1,3.5,4.5,-1.0,-1.0,-1.0,-1.0,3.5,4.5,30.05.2023 napastnik (90'),Polska,30.05.2023
Lukasz Baziuk,323694252,16.030,,128,WC 37,30,World Cup - Round II  Matchday 5,28/02/2025,90,8,-1,-1,-1,3.5,-1,-1,-1.0,-1.0,-1.0,3.0,-1.0,-1.0,30.05.2023 pomocnik (90'),Polska,30.05.2023
Oktawian Krzyzak,323694249,17.081,,128,WC 37,,Final,,,,-1,1,1.5,-1,-1,-1,-1.0,1.0,1.5,-1.0,-1.0,-1.0,30.05.2023 boczny_obronca (90'),Polska,30.05.2023
Tomasz Wietrak,323694258,16.098,,128,WC 37,18,World Cup - Round I  Matchday 3,20/12/2024,89,14,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,--------,Polska,30.05.2023
Witold Kotos,322870716,17.035,,114,WC 37,9,Continental Championship  Matchday 7,01/11/2024,89,7,2.5,-1,-1,-1,-1,-1,2.5,-1.0,-1.0,-1.0,-1.0,-1.0,30.05.2023 bramkarz (90'),Polska,30.05.2023
Wojciech Racis,323694251,16.018,,128,WC 37,31,World Cup - Round II  Matchday 6,07/03/2025,90,9,-1,-1,-1,2.5,4.5,-1,-1.0,-1.0,-1.0,2.5,4.5,-1.0,30.05.2023 pomocnik (90'),Polska,30.05.2023
A. Szymaniec,476474618,17.022,P,-2,WC 37,11,Continental Championship  Matchday 9,15/11/2024,89,9,-1,4.5,4,6.5,5,4,-1.0,-1.0,4.0,-1.0,5.0,4.0,-----,Polska,16.05.2023
Arkadiusz Kuzara,327634562,16.067,Q,51,WC 37,22,World Cup - Round I  Matchday 7,17/01/2025,90,2,-1,-1,-1,6,-1,-1,-1.0,-1.0,-1.0,6.0,-1.0,-1.0,26.05.2023 pomocnik (90'),Polska,30.05.2023
Barnaba Osses,317280154,17.028,Q,170,WC 37,10,Continental Championship  Matchday 8,08/11/2024,89,8,-1,2.5,3.5,2.5,4.5,6,-1.0,2.5,3.5,-1.0,4.5,-1.0,12.05.2023 skrzydlowy (90'),Polska,30.05.2023
Emilian Wonaszek,319671898,17.022,H,177,WC 37,11,Continental Championship  Matchday 9,15/11/2024,89,9,-1,5.5,5,3.5,-1,-1,-1.0,5.0,5.0,-1.0,-1.0,-1.0,26.05.2023 stoper (90'),Polska,30.05.2023
Jerzy Kornowski,321525809,17.035,,162,WC 37,9,Continental Championship  Matchday 7,01/11/2024,89,7,-1,3,-1,3,4.5,-1,-1.0,-1.0,-1.0,-1.0,4.5,-1.0,23.05.2023 stoper (68'),Polska,30.05.2023
Konrad Zoladkowski,322048465,16.073,,93,WC 37,22,World Cup - Round I  Matchday 7,17/01/2025,90,2,-1,-1,3,5.5,4.5,5,-1.0,-1.0,3.0,5.5,4.5,5.0,26.05.2023 boczny_obronca (90'),Polska,30.05.2023
