Player,Player ID,Age,Speciality,Days in Academy,WC X,Stage N,Description,Last Match Date,Season,Week,B_GK,B_CD,B_WB,B_IM,B_W,B_F,L_GK,L_CD,L_WB,L_IM,L_W,L_F,Last Match Details,Country,Last update
Maciej Myk,322942692,16.099,,114,WC 37,18,World Cup - Round I  Matchday 3,20/12/2024,89,14,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,--------,Polska,30.05.2023
Sedzimir Kulawiec,310731713,18.028,,331,WC 36,30,World Cup - Round II  Matchday 5,19/07/2024,88,8,-1,-1,4,6,5.5,-1,-1.0,-1.0,-1.0,5.5,5.0,-1.0,25.05.2023 skrzydlowy (90'),Polska,30.05.2023
Artur Warecki,320410772,17.011,,51,WC 37,12,Continental Championship  Matchday 10,22/11/2024,89,10,-1,-1,-1,5.5,-1,-1,-1.0,-1.0,-1.0,5.5,-1.0,-1.0,25.05.2023 pomocnik (90'),Polska,30.05.2023
Albert Kromer,318859274,17.038,,163,WC 37,9,Continental Championship  Matchday 7,01/11/2024,89,7,-1,-1,3,2.5,3.5,7.5,-1.0,-1.0,3.0,-1.0,-1.0,-1.0,25.05.2023 boczny_obronca (90'),Polska,30.05.2023
Jakub Joszko,321796014,17.025,,121,WC 37,10,Continental Championship  Matchday 8,08/11/2024,89,8,-1,-1,-1,-1,-1,5.5,-1.0,-1.0,-1.0,-1.0,-1.0,5.5,09.02.2023 napastnik (90'),Polska,30.05.2023
Yaroslav Ivashko,319320077,18.027,,198,WC 36,30,World Cup - Round II  Matchday 5,19/07/2024,88,8,-1,-1,-1,4,4.5,8,-1.0,-1.0,-1.0,-1.0,-1.0,6.5,25.05.2023 napastnik (90'),Polska,30.05.2023
Teodozy Albinski,326844618,17.000,,65,WC 37,15,Continental Championship - Finals,06/12/2024,89,12,-1,-1,-1,6.5,-1,-1,-1.0,-1.0,-1.0,5.0,-1.0,-1.0,25.05.2023 pomocnik (46'),Polska,30.05.2023
Andrzej Szczypinski,310415415,18.030,,282,WC 36,30,World Cup - Round II  Matchday 5,19/07/2024,88,8,2,4.5,4.5,-1,4.5,-1,-1.0,4.5,4.0,-1.0,-1.0,-1.0,25.05.2023 stoper (90'),Polska,30.05.2023
Wlodzimierz Koziolek,319755186,17.051,,156,WC 37,7,Continental Championship  Matchday 5,18/10/2024,89,5,-1,-1,-1,-1,4,8,-1.0,-1.0,-1.0,-1.0,-1.0,7.0,25.05.2023 napastnik (90'),Polska,30.05.2023
Robert Szynal,325970805,16.028,H,79,WC 37,30,World Cup - Round II  Matchday 5,28/02/2025,90,8,-1,-1,-1,-1,5.5,-1,-1.0,-1.0,-1.0,-1.0,4.0,-1.0,25.05.2023 skrzydlowy (90'),Polska,30.05.2023
