"Player,Player ID,Age,Speciality,Days in Academy,WC X,Stage N,Description,Last Match Date,Season,Week,B_GK,B_CD,B_WB,B_IM,B_W,B_F,L_GK,L_CD,L_WB,L_IM,L_W,L_F,Last Match Details,Country,Last update"
"Bartlomiej Andrejczuk,326583354,17.099,,106,WC 37,4,Continental Championship  Matchday 2,07/10/2024,89,4,-1,-1,-1,-1,-1,6.5,-1.0,-1.0,-1.0,-1.0,-1.0,6.5,24.04.2023 napastnik (90'),Polska,05.07.2023"
"Damian Pioro,321663173,18.064,,199,WC 36,30,World Cup - Round II  Matchday 5,19/07/2024,88,8,1.5,4,4,4,4,5,-1.0,4.0,4.0,4.0,4.0,-1.0,03.07.2023 skrzydlowy (90'),Polska,05.07.2023"
"Daniel Kotonski,321663166,18.011,Q,199,WC 37,,Final,,,,-1,4,4,-1,-1,-1,-1.0,4.0,4.0,-1.0,-1.0,-1.0,03.07.2023 stoper (90'),Polska,05.07.2023"
"Daniel Ulewicz,321663167,17.036,,199,WC 37,15,Continental Championship - Finals,06/12/2024,89,12,-1,2,-1,2,-1,-1,-1.0,2.0,-1.0,2.0,-1.0,-1.0,03.07.2023 stoper (90'),Polska,05.07.2023"
"Gabriel Kouba,321663169,18.066,P,199,WC 36,30,World Cup - Round II  Matchday 5,19/07/2024,88,8,-1,2.5,3,4,4,-1,-1.0,-1.0,3.0,4.0,4.0,-1.0,03.07.2023 skrzydlowy (90'),Polska,05.07.2023"
"Gerwazy Niedzwiedz,321663175,17.016,,199,WC 37,19,World Cup - Round I  Matchday 4,27/12/2024,89,15,-1,2.5,2.5,3.5,3,3.5,-1.0,-1.0,2.5,3.5,3.0,3.5,03.07.2023 napastnik (90'),Polska,05.07.2023"
"Jan Swietoniowski,321663168,16.089,Q,199,WC 37,24,World Cup - Round I  Matchday 9,31/01/2025,90,4,-1,-1,2,2.5,-1,-1,-1.0,-1.0,2.0,-1.0,-1.0,-1.0,03.07.2023 boczny_obronca (90'),Polska,05.07.2023"
"Jonatan Siegien,321663164,16.106,U,199,WC 37,22,World Cup - Round I  Matchday 7,17/01/2025,90,2,0.5,2,2,2,-1,-1,0.5,2.0,2.0,-1.0,-1.0,-1.0,03.07.2023 bramkarz (90'),Polska,05.07.2023"
"Krzysztof Andruszkiewicz,321663172,18.063,,199,WC 36,30,World Cup - Round II  Matchday 5,19/07/2024,88,8,-1,-1,-1,2.5,2.5,-1,-1.0,-1.0,-1.0,2.5,2.5,-1.0,03.07.2023 pomocnik (90'),Polska,05.07.2023"
"Marcel Cyganiak,323284361,17.033,,123,WC 37,15,Continental Championship - Finals,06/12/2024,89,12,-1,-1,-1,4.5,5,-1,-1.0,-1.0,-1.0,4.5,5.0,-1.0,24.04.2023 pomocnik (90'),Polska,05.07.2023"
"Marian Kedziorski,321663177,18.034,,199,WC 36,36,World Cup - Round IV  Matchday 2,19/08/2024,88,13,-1,-1,-1,-1,-1,3.5,-1.0,-1.0,-1.0,-1.0,-1.0,3.5,24.04.2023 napastnik (90'),Polska,05.07.2023"
"Patryk Koziarski,321663174,17.011,T,199,WC 37,20,World Cup - Round I  Matchday 5,03/01/2025,89,16,-1,-1,-1,-1,-1,4.5,-1.0,-1.0,-1.0,-1.0,-1.0,4.5,03.07.2023 napastnik (90'),Polska,05.07.2023"
"Ryszard Grzywna,321663178,17.038,,199,WC 37,15,Continental Championship - Finals,06/12/2024,89,12,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,--------,Polska,05.07.2023"
"Szymon Broja,326433546,17.081,Q,113,WC 37,8,Continental Championship  Matchday 6,25/10/2024,89,6,-1,5,-1,-1,-1,-1,-1.0,5.0,-1.0,-1.0,-1.0,-1.0,24.04.2023 stoper (90'),Polska,05.07.2023"
"Szymon Zawila,321663171,17.005,,199,WC 37,20,World Cup - Round I  Matchday 5,03/01/2025,89,16,-1,-1,-1,1.5,1.5,4,-1.0,-1.0,-1.0,1.5,1.5,4.0,03.07.2023 pomocnik (90'),Polska,05.07.2023"
"Valentyn Nekrasov,321663165,17.012,,199,WC 37,19,World Cup - Round I  Matchday 4,27/12/2024,89,15,-1,-1,2,-1,-1,1.5,-1.0,-1.0,2.0,-1.0,-1.0,1.5,03.07.2023 boczny_obronca (90'),Polska,05.07.2023"
"Waldemar Soprych,321663176,17.095,,199,WC 37,5,Continental Championship  Matchday 3,11/10/2024,89,4,1,-1,-1,-1,-1,-1,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,24.04.2023 bramkarz (90'),Polska,05.07.2023"
"Jan Antczak,300295377,20.030,,514,WC 36,,Final,,,,-1,2.5,3,4,3.5,4,-1.0,2.5,3.0,4.0,-1.0,4.0,03.03.2022 pomocnik (90'),Polska,05.07.2023"
"Fryderyk Krzywy,327396074,16.084,,87,WC 37,25,World Cup - Round I  Matchday 10,07/02/2025,90,5,-1,-1,-1,3.5,-1,5.5,-1.0,-1.0,-1.0,3.5,-1.0,5.5,01.07.2023 pomocnik (90'),Polska,05.07.2023"
"Grzegorz Wiszowaty,326564931,16.054,R80,80,WC 37,31,World Cup - Round II  Matchday 6,07/03/2025,90,9,-1,-1,-1,-1,-1,7,-1.0,-1.0,-1.0,-1.0,-1.0,7.0,01.07.2023 napastnik (90'),Polska,05.07.2023"
"H. Haczyk,476861898,17.026,Q,-2,WC 37,17,World Cup - Round I  Matchday 2,16/12/2024,89,14,-1,2.5,-1,5,4,7.5,-1.0,2.5,-1.0,5.0,4.0,7.5,-----,Polska,20.06.2023"
"Jakub Zapasnik,325318770,16.061,S,108,WC 37,30,World Cup - Round II  Matchday 5,28/02/2025,90,8,-1,3,-1,3.5,5,6.5,-1.0,3.0,-1.0,3.5,5.0,6.5,01.07.2023 stoper (90'),Polska,05.07.2023"
"Karol Pyra,315631563,18.033,H,231,WC 36,36,World Cup - Round IV  Matchday 2,19/08/2024,88,13,2,-1,4.5,4.5,4.5,2.5,2.0,-1.0,-1.0,4.0,-1.0,-1.0,24.06.2023 bramkarz (90'),Polska,05.07.2023"
"Konstanty Papros,324255301,17.061,T127,127,WC 37,10,Continental Championship  Matchday 8,08/11/2024,89,8,1.5,-1,-1,3.5,3.5,6,1.5,-1.0,-1.0,3.5,3.5,6.0,24.06.2023 skrzydlowy (90'),Polska,05.07.2023"
"Lucjusz Konc,323653032,17.012,U,100,WC 37,19,World Cup - Round I  Matchday 4,27/12/2024,89,15,1.5,-1,3,3.5,4.5,4,1.5,-1.0,3.0,3.5,4.5,4.0,26.06.2023 bramkarz (90'),Polska,05.07.2023"
"Piotr Pieczara,322176100,16.081,P,171,WC 37,26,World Cup - Round II  Matchday 1,14/02/2025,90,6,-1,1.5,2,3.5,3.5,4,-1.0,1.5,2.0,3.5,3.5,-1.0,01.07.2023 boczny_obronca (90'),Polska,05.07.2023"
"Robert Klekotka,319094749,18.018,,194,WC 36,40,World Cup - Round V  Matchday 3,06/09/2024,88,15,1,3.5,3.5,5,4.5,6,1.0,3.5,3.5,-1.0,4.5,6.0,01.07.2023 skrzydlowy (90'),Polska,05.07.2023"
"Sebastian Gruszfeld,324189865,17.001,T,136,WC 37,21,World Cup - Round I  Matchday 6,10/01/2025,90,1,-1,-1,-1,5.5,4,6.5,-1.0,-1.0,-1.0,5.5,4.0,6.5,01.07.2023 napastnik (90'),Polska,05.07.2023"
"Stanislaw Gawarkiewicz,324189897,17.021,,146,WC 37,18,World Cup - Round I  Matchday 3,20/12/2024,89,14,-1,-1,3,2.5,3.5,5.5,-1.0,-1.0,3.0,2.5,3.5,5.5,01.07.2023 boczny_obronca (90'),Polska,05.07.2023"
"Zdzislaw Kutrzuba,321653506,17.036,T,192,WC 37,15,Continental Championship - Finals,06/12/2024,89,12,-1,3,3.5,5,4.5,4,-1.0,3.0,3.0,5.0,-1.0,-1.0,24.06.2023 stoper (90'),Polska,05.07.2023"
"Albert Grajek,313496135,18.043,,311,WC 36,34,World Cup - Round III  Matchday 3,09/08/2024,88,11,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,--------,Polska,05.07.2023"
"Arkadiusz Jonca,305969988,19.094,P,451,WC 36,5,Continental Championship  Matchday 3,01/03/2024,87,4,-1,-1,-1,4,-1,6.5,-1.0,-1.0,-1.0,4.0,-1.0,6.5,15.07.2022 pomocnik (90'),Polska,05.07.2023"
"Grzegorz Szkudlarek,291124630,22.042,T,612,WC 36,,Final,,,,-1,-1,7.5,6,6.5,-1,-1.0,-1.0,6.5,-1.0,-1.0,-1.0,17.06.2022 boczny_obronca (90'),Polska,05.07.2023"
"Jakub Czopulak,289245435,22.003,,703,WC 36,,Final,,,,1.5,2.5,4,3.5,5.5,6.5,1.5,-1.0,4.0,-1.0,-1.0,-1.0,15.07.2022 bramkarz (90'),Polska,05.07.2023"
"Rafal Karlinski,319226474,17.096,,199,WC 37,4,Continental Championship  Matchday 2,07/10/2024,89,4,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,--------,Polska,05.07.2023"
"Stanislaw Chwesiuk,301946903,21.004,S,486,WC 36,,Final,,,,-1,-1,-1,5,4,4.5,-1.0,-1.0,-1.0,5.0,4.0,-1.0,15.07.2022 skrzydlowy (90'),Polska,05.07.2023"
"Stanislaw Wypchlo,306176859,20.071,,437,WC 36,,Final,,,,-1,-1,-1,-1,5.5,7,-1.0,-1.0,-1.0,-1.0,5.5,7.0,15.07.2022 skrzydlowy (90'),Polska,05.07.2023"
"Tadeusz Pindor,324107572,17.065,,118,WC 37,10,Continental Championship  Matchday 8,08/11/2024,89,8,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,--------,Polska,05.07.2023"
"Tobi Litzenburger,299301593,21.045,,570,WC 36,,Final,,,,5,-1,2.5,2,2,1,-1.0,-1.0,2.5,1.5,2.0,-1.0,15.07.2022 boczny_obronca (90'),Polska,05.07.2023"
"Waldemar Amborski,290911123,21.089,P,661,WC 36,,Final,,,,-1,2.5,3,4,5,5,-1.0,2.5,3.0,-1.0,-1.0,-1.0,15.07.2022 boczny_obronca (90'),Polska,05.07.2023"
"Waldemar Wodzinski,294223767,22.016,P,654,WC 36,,Final,,,,-1,4.5,-1,5.5,5.5,5.5,-1.0,4.5,-1.0,-1.0,5.5,-1.0,15.07.2022 stoper (90'),Polska,05.07.2023"
"Wladyslaw Jarnutowski,295843336,21.057,,633,WC 36,,Final,,,,-1,2,2,1.5,1.5,1,-1.0,2.0,2.0,1.5,-1.0,-1.0,15.07.2022 stoper (90'),Polska,05.07.2023"
"Wladyslaw Krzan,290178707,22.020,,724,WC 36,,Final,,,,-1,3,3,1.5,2,0.5,-1.0,3.0,3.0,-1.0,-1.0,-1.0,08.07.2022 boczny_obronca (90'),Polska,05.07.2023"
