
"Filip Kulczyk,316551672,17.104,,152,WC 36,32,World Cup - Round III  Matchday 1,02/08/2024,88,10,5,-1,-1,-1,-1,-1,5.0,-1.0,-1.0,-1.0,-1.0,-1.0,05.05.2023 bramkarz (90'),Polska,05.05.2023"
"Gniewosz Grodecki,300478327,19.054,H,362,WC 36,1,Friendly,09/02/2024,87,1,-1,-1,-1,-1,6,-1,-1.0,-1.0,-1.0,-1.0,5.5,-1.0,10.03.2023 skrzydlowy (90'),Polska,05.05.2023"
"Grzegorz Pula,305174069,18.101,,368,WC 36,12,Continental Championship  Matchday 10,12/04/2024,87,10,-1,5,-1,5,5.5,-1,-1.0,-1.0,-1.0,5.0,-1.0,-1.0,05.05.2023 pomocnik (90'),Polska,05.05.2023"
"Grzegorz Rytter,306497733,18.062,,331,WC 36,20,World Cup - Round I  Matchday 5,24/05/2024,87,16,2.5,5.5,-1,-1,-1,-1,-1.0,4.0,-1.0,-1.0,-1.0,-1.0,05.05.2023 stoper (90'),Polska,05.05.2023"
"Gustaw Cizmowski,307438586,20.039,,381,WC 36,,Final,,,,-1,-1,-1,-1,4,-1,-1.0,-1.0,-1.0,-1.0,4.0,-1.0,14.05.2022 skrzydlowy (90'),Polska,05.05.2023"
"Leon Rydzon,317731023,16.107,,144,WC 37,11,Continental Championship  Matchday 9,15/11/2024,89,9,-1,3.5,-1,-1,5,-1,-1.0,-1.0,-1.0,-1.0,5.0,-1.0,05.05.2023 skrzydlowy (90'),Polska,05.05.2023"
"Maksymilian Paron,300574823,19.050,,325,WC 36,1,Friendly,09/02/2024,87,1,-1,-1,-1,-1,4.5,6,-1.0,-1.0,-1.0,-1.0,-1.0,6.0,10.03.2023 napastnik (90'),Polska,05.05.2023"
"Mieczyslaw Makuta,307438580,19.002,T,381,WC 36,10,Continental Championship  Matchday 8,29/03/2024,87,8,-1,4.5,-1,-1,-1,-1,-1.0,4.0,-1.0,-1.0,-1.0,-1.0,28.04.2023 stoper (90'),Polska,05.05.2023"
"Oskar Chylak,307438585,18.093,,381,WC 36,14,Continental Championship - Semifinals,22/04/2024,87,12,-1,4.5,-1,3,4,-1,-1.0,4.5,-1.0,-1.0,-1.0,-1.0,05.05.2023 stoper (90'),Polska,05.05.2023"
"Radoslaw Domina,319907859,17.034,P,137,WC 37,5,Continental Championship  Matchday 3,11/10/2024,89,4,-1,-1,-1,-1,6,-1,-1.0,-1.0,-1.0,-1.0,6.0,-1.0,05.05.2023 skrzydlowy (90'),Polska,05.05.2023"
