"Player,Player ID,Age,Speciality,Days in Academy,WC X,Stage N,Description,Last Match Date,Season,Week,B_GK,B_CD,B_WB,B_IM,B_W,B_F,L_GK,L_CD,L_WB,L_IM,L_W,L_F,Last Match Details,Country,Last update"
"Alojzy Kerzhakov,316465277,17.105,P,116,WC 36,37,World Cup - Round IV  Matchday 3,23/08/2024,88,13,-1,-1,-1,-1,6,-1,-1.0,-1.0,-1.0,-1.0,6.0,-1.0,31.05.2023 skrzydlowy (90'),Polska,01.06.2023"
"Boleslaw Binder,327202512,15.110,,46,WC 37,37,World Cup - Round IV  Matchday 3,04/04/2025,90,13,-1,-1,-1,5.5,-1,-1,-1.0,-1.0,-1.0,5.5,-1.0,-1.0,31.05.2023 pomocnik (90'),Polska,01.06.2023"
"Bronislaw Budzikowski,318547657,18.021,,179,WC 36,31,World Cup - Round II  Matchday 6,26/07/2024,88,9,-1,-1,-1,4.5,5,5.5,-1.0,-1.0,-1.0,-1.0,5.0,-1.0,29.03.2023 pomocnik (20'),Polska,01.06.2023"
"Dariusz Gluszko,321697915,18.006,T,137,WC 36,34,World Cup - Round III  Matchday 3,09/08/2024,88,11,-1,-1,-1,5.5,-1,-1,-1.0,-1.0,-1.0,5.0,-1.0,-1.0,31.05.2023 pomocnik (90'),Polska,01.06.2023"
"Dominik Gabka,313571782,18.108,,270,WC 36,16,World Cup - Round I  Matchday 1,03/05/2024,87,13,-1,5.5,5.5,-1,-1,-1,-1.0,5.5,-1.0,-1.0,-1.0,-1.0,31.05.2023 stoper (80'),Polska,01.06.2023"
"Edward Czerw,319213997,17.034,,172,WC 37,9,Continental Championship  Matchday 7,01/11/2024,89,7,-1,-1,-1,-1,-1,8,-1.0,-1.0,-1.0,-1.0,-1.0,8.0,31.05.2023 napastnik (90'),Polska,01.06.2023"
"Gerard Chroboczek,313136508,18.108,H,274,WC 36,16,World Cup - Round I  Matchday 1,03/05/2024,87,13,2,4.5,4,-1,-1,-1,2.0,3.5,-1.0,-1.0,-1.0,-1.0,31.05.2023 stoper (10'),Polska,01.06.2023"
"Henryk Majkut,323056070,17.049,Q,88,WC 37,7,Continental Championship  Matchday 5,18/10/2024,89,5,-1,5,-1,-1,-1,-1,-1.0,5.0,-1.0,-1.0,-1.0,-1.0,31.05.2023 stoper (90'),Polska,01.06.2023"
"Janusz Betkowski,310433962,18.087,,312,WC 36,20,World Cup - Round I  Matchday 5,24/05/2024,87,16,-1,-1,-1,5.5,-1,-1,-1.0,-1.0,-1.0,5.5,-1.0,-1.0,31.05.2023 pomocnik (90'),Polska,01.06.2023"
"Karol Smentoch,318411525,16.109,,182,WC 37,16,World Cup - Round I  Matchday 1,13/12/2024,89,13,4.5,-1,-1,-1,-1,-1,4.5,-1.0,-1.0,-1.0,-1.0,-1.0,31.05.2023 bramkarz (90'),Polska,01.06.2023"
"Marian Orlowicz,313238660,18.013,,235,WC 36,33,World Cup - Round III  Matchday 2,05/08/2024,88,11,-1,-1,-1,-1,-1,7.5,-1.0,-1.0,-1.0,-1.0,-1.0,7.0,31.05.2023 napastnik (90'),Polska,01.06.2023"
"Mariusz Mendelewski,311083028,18.041,U,326,WC 36,27,World Cup - Round II  Matchday 2,08/07/2024,88,7,-1,-1,-1,-1,5.5,-1,-1.0,-1.0,-1.0,-1.0,5.5,-1.0,31.05.2023 skrzydlowy (90'),Polska,01.06.2023"
"Pawel Ludera,315188023,18.001,P,249,WC 36,36,World Cup - Round IV  Matchday 2,19/08/2024,88,13,-1,3.5,-1,-1,-1,-1,-1.0,3.5,-1.0,-1.0,-1.0,-1.0,31.05.2023 stoper (90'),Polska,01.06.2023"
"Walerian Kaniecki,323121895,17.037,Q,102,WC 37,9,Continental Championship  Matchday 7,01/11/2024,89,7,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,--------,Polska,01.06.2023"
"Adam Kakareko,315546557,17.080,Q,270,WC 37,1,Friendly,20/09/2024,89,1,-1,3.5,4,2.5,-1,-1,-1.0,3.5,4.0,-1.0,-1.0,-1.0,31.05.2023 boczny_obronca (90'),Polska,01.06.2023"
"Artur Estreicher,322483047,16.103,,123,WC 37,18,World Cup - Round I  Matchday 3,20/12/2024,89,14,-1,-1,-1,4.5,-1,7,-1.0,-1.0,-1.0,4.5,-1.0,6.5,31.05.2023 napastnik (90'),Polska,01.06.2023"
"Damian Jasiorowski,322463640,16.059,,137,WC 37,24,World Cup - Round I  Matchday 9,31/01/2025,90,4,-1,-1,-1,4.5,-1,6,-1.0,-1.0,-1.0,4.5,-1.0,4.5,17.05.2023 napastnik (90'),Polska,01.06.2023"
"Grzegorz Skok,316837676,18.065,,228,WC 36,23,World Cup - Round I  Matchday 8,14/06/2024,88,3,-1,4,-1,4.5,5,-1,-1.0,4.0,-1.0,4.5,5.0,-1.0,31.05.2023 pomocnik (90'),Polska,01.06.2023"
"Jan Matosek,325734461,16.021,,53,WC 37,31,World Cup - Round II  Matchday 6,07/03/2025,90,9,-1,-1,-1,5,5,-1,-1.0,-1.0,-1.0,5.0,5.0,-1.0,24.05.2023 pomocnik (90'),Polska,01.06.2023"
"Juliusz Thiel,315546561,18.030,,270,WC 36,30,World Cup - Round II  Matchday 5,19/07/2024,88,8,-1,3,4,3,4.5,4.5,-1.0,3.0,4.0,-1.0,3.5,-1.0,10.05.2023 stoper (90'),Polska,01.06.2023"
"Krzysiek Mirowski,324098584,16.019,,101,WC 37,32,World Cup - Round III  Matchday 1,14/03/2025,90,10,5,-1,-1,-1,-1,0.5,5.0,-1.0,-1.0,-1.0,-1.0,0.5,10.05.2023 napastnik (90'),Polska,01.06.2023"
"Marian Goralczyk,325884031,16.054,,86,WC 37,25,World Cup - Round I  Matchday 10,07/02/2025,90,5,6,-1,-1,-1,-1,-1,6.0,-1.0,-1.0,-1.0,-1.0,-1.0,31.05.2023 bramkarz (90'),Polska,01.06.2023"
"Mateusz Misko,320028379,17.044,Q,108,WC 37,8,Continental Championship  Matchday 6,25/10/2024,89,6,-1,-1,-1,-1,2.5,5.5,-1.0,-1.0,-1.0,-1.0,2.5,5.5,31.05.2023 napastnik (90'),Polska,01.06.2023"
"Pawel Stodolkiewicz,325343286,16.054,U,95,WC 37,25,World Cup - Round I  Matchday 10,07/02/2025,90,5,-1,4.5,4,-1,-1,-1,-1.0,4.5,4.0,-1.0,-1.0,-1.0,31.05.2023 stoper (90'),Polska,01.06.2023"
"Piotr Kankowski,325508564,16.042,R,79,WC 37,27,World Cup - Round II  Matchday 2,17/02/2025,90,7,-1,-1,-1,5,5,-1,-1.0,-1.0,-1.0,5.0,5.0,-1.0,31.05.2023 pomocnik (90'),Polska,01.06.2023"
"Piotr Slocki,327785637,16.028,,56,WC 37,30,World Cup - Round II  Matchday 5,28/02/2025,90,8,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,--------,Polska,01.06.2023"
"Radoslaw Besz,317171992,17.036,T,193,WC 37,9,Continental Championship  Matchday 7,01/11/2024,89,7,-1,2.5,4,-1,5.5,-1,-1.0,-1.0,4.0,-1.0,5.5,-1.0,31.05.2023 skrzydlowy (90'),Polska,01.06.2023"
"R. Baranski,476755919,17.050,,-1,WC 37,7,Continental Championship  Matchday 5,18/10/2024,89,5,1,2.5,2.5,2,-1,6,1.0,-1.0,-1.0,-1.0,-1.0,4.5,-----,Polska,01.06.2023"
"Slawomir Koziak,323753188,16.059,U,67,WC 37,24,World Cup - Round I  Matchday 9,31/01/2025,90,4,-1,4,4,-1,-1,3.5,-1.0,4.0,4.0,-1.0,-1.0,3.5,31.05.2023 boczny_obronca (90'),Polska,01.06.2023"
"Tomasz Flejszar,322713632,16.052,,144,WC 37,25,World Cup - Round I  Matchday 10,07/02/2025,90,5,-1,4,-1,6,5.5,-1,-1.0,-1.0,-1.0,6.0,5.5,-1.0,31.05.2023 pomocnik (90'),Polska,01.06.2023"
"Artur Rudnia,323709500,16.097,,108,WC 37,18,World Cup - Round I  Matchday 3,20/12/2024,89,14,-1,-1,-1,-1,5.5,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,11.03.2023 skrzydlowy (21'),Polska,01.06.2023"
"August Razny,322076605,16.086,H,144,WC 37,20,World Cup - Round I  Matchday 5,03/01/2025,89,16,2,-1,-1,-1,-1,-1,1.5,-1.0,-1.0,-1.0,-1.0,-1.0,30.05.2023 bramkarz (90'),Polska,01.06.2023"
"Blazej Cicha,324498183,16.076,T,53,WC 37,21,World Cup - Round I  Matchday 6,10/01/2025,90,1,-1,-1,-1,4.5,3.5,-1,-1.0,-1.0,-1.0,4.5,3.5,-1.0,30.05.2023 skrzydlowy (90'),Polska,01.06.2023"
"Cyryl Skrzynski,312505648,19.001,U,270,WC 36,15,Continental Championship - Finals,26/04/2024,87,12,-1,6,7,-1,7,7,-1.0,6.0,7.0,-1.0,-1.0,-1.0,30.05.2023 boczny_obronca (90'),Polska,01.06.2023"
"Fabian Bilon,316464457,17.047,,179,WC 37,8,Continental Championship  Matchday 6,25/10/2024,89,6,-1,-1,-1,6,5.5,-1,-1.0,-1.0,-1.0,6.0,5.5,-1.0,30.05.2023 pomocnik (90'),Polska,01.06.2023"
"Gerard Lukow,310399067,18.067,U,311,WC 36,23,World Cup - Round I  Matchday 8,14/06/2024,88,3,-1,-1,6.5,-1,5.5,-1,-1.0,-1.0,-1.0,-1.0,5.5,-1.0,30.05.2023 skrzydlowy (90'),Polska,01.06.2023"
"Herman Deja,322132611,16.080,,130,WC 37,21,World Cup - Round I  Matchday 6,10/01/2025,90,1,-1,-1,-1,-1,5.5,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,11.03.2023 skrzydlowy (23'),Polska,01.06.2023"
"Jozef Gornik,322457126,16.043,,151,WC 37,27,World Cup - Round II  Matchday 2,17/02/2025,90,7,-1,-1,3,-1,6.5,-1,-1.0,-1.0,3.0,-1.0,-1.0,-1.0,16.05.2023 boczny_obronca (90'),Polska,01.06.2023"
"Karol Marzol,316027103,18.072,,192,WC 36,22,World Cup - Round I  Matchday 7,07/06/2024,88,2,-1,-1,-1,9,-1,-1,-1.0,-1.0,-1.0,6.5,-1.0,-1.0,01.05.2023 pomocnik (90'),Polska,01.06.2023"
"Marcel Furczon,317658985,17.093,,172,WC 36,41,World Cup - Semifinals,09/09/2024,88,16,-1,5,5,-1,-1,-1,-1.0,5.0,5.0,-1.0,-1.0,-1.0,30.05.2023 stoper (90'),Polska,01.06.2023"
