"Player,Player ID,Age,Speciality,Days in Academy,WC X,Stage N,Description,Last Match Date,Season,Week,B_GK,B_CD,B_WB,B_IM,B_W,B_F,L_GK,L_CD,L_WB,L_IM,L_W,L_F,Last Match Details,Country,Last update"
"A. Borecki,476405337,17.041,,-2,WC 37,10,Continental Championship  Matchday 8,08/11/2024,89,8,5.5,2,-1,-1,-1,-1,5.5,-1.0,-1.0,-1.0,-1.0,-1.0,-----,Polska,15.05.2023"
"J. Polom,476695613,17.019,,-2,WC 37,15,Continental Championship - Finals,06/12/2024,89,12,-1,5.5,5,4,4,4.5,-1.0,5.5,5.0,-1.0,-1.0,4.5,-----,Polska,01.06.2023"
"Fryderyk Pacan,326172538,16.082,,91,WC 37,23,World Cup - Round I  Matchday 8,24/01/2025,90,3,-1,2.5,3.5,3.5,4.5,3.5,-1.0,2.5,3.5,3.5,4.5,3.5,13.06.2023 stoper (90'),Polska,15.06.2023"
"Zbigniew Winkler,325604683,16.008,P,107,WC 37,37,World Cup - Round IV  Matchday 3,04/04/2025,90,13,-1,2.5,2.5,3.5,4,5,-1.0,2.5,2.5,3.5,4.0,5.0,13.06.2023 stoper (90'),Polska,15.06.2023"
"Otto Stelmachowski,321838042,16.079,H,123,WC 37,23,World Cup - Round I  Matchday 8,24/01/2025,90,3,-1,3,4,4,5,4,-1.0,3.0,4.0,4.0,5.0,4.0,13.06.2023 boczny_obronca (90'),Polska,15.06.2023"
"Jedrzej Golaszewski,320843771,16.111,U,72,WC 37,18,World Cup - Round I  Matchday 3,20/12/2024,89,14,-1,5,5.5,-1,4.5,-1,-1.0,5.0,5.5,-1.0,4.5,-1.0,13.06.2023 boczny_obronca (90'),Polska,15.06.2023"
"Jan Penc,322939376,16.085,,117,WC 37,22,World Cup - Round I  Matchday 7,17/01/2025,90,2,2,4,4,5,4.5,6,2.0,-1.0,-1.0,5.0,-1.0,6.0,13.06.2023 bramkarz (90'),Polska,15.06.2023"
"Gabriel Wrebiak,325044295,17.036,,97,WC 37,11,Continental Championship  Matchday 9,15/11/2024,89,9,-1,3,3,5,4.5,6.5,-1.0,-1.0,3.0,5.0,4.5,6.5,06.06.2023 napastnik (90'),Polska,15.06.2023"
"Aleksander Danik,320220791,17.000,P,161,WC 37,18,World Cup - Round I  Matchday 3,20/12/2024,89,14,0.5,3,3,5,4,4,-1.0,3.0,-1.0,5.0,4.0,4.0,09.06.2023 napastnik (90'),Polska,15.06.2023"
"Piotr Wardecki,325604486,16.051,,84,WC 37,29,World Cup - Round II  Matchday 4,24/02/2025,90,8,-1,2,3,3,4,4,-1.0,2.0,-1.0,3.0,4.0,4.0,13.06.2023 napastnik (90'),Polska,15.06.2023"
"Jacenty Podstawka,326338617,15.106,,77,WC 37,41,World Cup - Semifinals,21/04/2025,90,16,1.5,2.5,3,3,-1,4,1.5,2.5,3.0,3.0,-1.0,4.0,13.06.2023 napastnik (90'),Polska,15.06.2023"
