"Player,Player ID,Age,Speciality,Days in Academy,WC X,Stage N,Description,Last Match Date,Season,Week,B_GK,B_CD,B_WB,B_IM,B_W,B_F,L_GK,L_CD,L_WB,L_IM,L_W,L_F,Last Match Details,Country,Last update"
"Harald Plofose,477506867,17.026,,-1,WC 37,17,World Cup - Round I  Matchday 2,16/12/2024,89,14,-1,6,6.5,-1,5,4.5,-1.0,6.0,6.5,-1.0,5.0,-1.0,-----,Polska,04.07.2023"
"Grzegorz Redmer,320456270,17.051,,149,WC 37,12,Continental Championship  Matchday 10,22/11/2024,89,10,-1,3,4,4.5,5.5,-1,-1.0,3.0,4.0,4.5,5.5,-1.0,02.07.2023 pomocnik (90'),Polska,04.07.2023"
"M. Rzepczynski,476740447,17.100,,-2,WC 37,3,Continental Championship  Matchday 1,04/10/2024,89,3,-1,4,-1,6,5,-1,-1.0,4.0,-1.0,-1.0,-1.0,-1.0,-----,Polska,01.06.2023"
"E. Sleczkowski,476907092,17.060,Q,-2,WC 37,10,Continental Championship  Matchday 8,08/11/2024,89,8,-1,4,5,3.5,4.5,-1,-1.0,-1.0,5.0,3.5,-1.0,-1.0,-----,Polska,20.06.2023"
"Dorian Weglinski,320450854,17.029,P,184,WC 37,16,World Cup - Round I  Matchday 1,13/12/2024,89,13,2,4,-1,5,-1,-1,2.0,4.0,-1.0,5.0,-1.0,-1.0,02.07.2023 pomocnik (90'),Polska,04.07.2023"
"Hektor Pawlicki,324617153,17.066,T,134,WC 37,10,Continental Championship  Matchday 8,08/11/2024,89,8,-1,4.5,-1,3,4.5,3,-1.0,4.5,-1.0,3.0,4.5,-1.0,02.07.2023 pomocnik (90'),Polska,04.07.2023"
"Andrzej Ferus,321927623,16.080,T,177,WC 37,26,World Cup - Round II  Matchday 1,14/02/2025,90,6,4,2,-1,1.5,1.5,-1,4.0,2.0,-1.0,1.5,-1.0,-1.0,02.07.2023 bramkarz (90'),Polska,04.07.2023"
"Bogdan Niziol,322463079,16.078,H,109,WC 37,26,World Cup - Round II  Matchday 1,14/02/2025,90,6,-1,4,-1,4,-1,-1,-1.0,4.0,-1.0,4.0,-1.0,-1.0,02.07.2023 stoper (90'),Polska,04.07.2023"
"Dorian Alicki,323684549,16.096,,154,WC 37,23,World Cup - Round I  Matchday 8,24/01/2025,90,3,2,-1,-1,4,4,5,2.0,-1.0,-1.0,3.5,4.0,-1.0,02.07.2023 skrzydlowy (90'),Polska,04.07.2023"
"Franciszek Sobanski,319411380,18.010,,190,WC 37,,Final,,,,3,4.5,4.5,-1,4.5,-1,-1.0,4.5,4.5,-1.0,4.5,-1.0,02.06.2023 skrzydlowy (90'),Polska,04.07.2023"
"Jozef Sledz,323731131,17.101,,141,WC 37,3,Continental Championship  Matchday 1,04/10/2024,89,3,-1,-1,-1,3.5,4,4.5,-1.0,-1.0,-1.0,3.5,4.0,-1.0,23.06.2023 pomocnik (90'),Polska,04.07.2023"
"Pawel Dec,323348498,17.059,,115,WC 37,11,Continental Championship  Matchday 9,15/11/2024,89,9,-1,-1,-1,6,-1,-1,-1.0,-1.0,-1.0,6.0,-1.0,-1.0,16.05.2023 pomocnik (90'),Polska,04.07.2023"
"Boleslaw Weglowski,318450284,18.064,U,192,WC 36,30,World Cup - Round II  Matchday 5,19/07/2024,88,8,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,--------,Polska,04.07.2023"
"Borzyslaw Moranski,311132647,18.079,,371,WC 36,26,World Cup - Round II  Matchday 1,05/07/2024,88,6,-1,-1,-1,5,-1,-1,-1.0,-1.0,-1.0,5.0,-1.0,-1.0,11.03.2023 pomocnik (0'),Polska,04.07.2023"
"Leon Kielczewski,326318700,17.051,Q,86,WC 37,12,Continental Championship  Matchday 10,22/11/2024,89,10,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,--------,Polska,04.07.2023"
"Mieczyslaw Komenda,306757701,19.023,Q,304,WC 36,18,World Cup - Round I  Matchday 3,10/05/2024,87,14,-1,2.5,-1,-1,-1,-1,-1.0,2.5,-1.0,-1.0,-1.0,-1.0,11.03.2023 stoper (0'),Polska,04.07.2023"
"Przemyslaw Antkiewicz,308164770,19.044,Q,379,WC 36,13,Continental Championship - Quarterfinals,19/04/2024,87,11,-1,-1,-1,5.5,-1,-1,-1.0,-1.0,-1.0,5.5,-1.0,-1.0,11.03.2023 pomocnik (0'),Polska,04.07.2023"
