"Player,Player ID,Age,Speciality,Days in Academy,WC X,Stage N,Description,Last Match Date,Season,Week,B_GK,B_CD,B_WB,B_IM,B_W,B_F,L_GK,L_CD,L_WB,L_IM,L_W,L_F,Last Match Details,Country"
"Fabian Szczech,320511920,17.033,P,110,WC 36,41,World Cup - Semifinals,09/09/2024,88,16,2,3.5,-1,-1,-1,-1,,16.03.2023 stoper (90'),Polska"
"Miroslaw Macikowski,320511925,16.104,,120,WC 37,7,Continental Championship  Matchday 5,18/10/2024,89,5,1.5,-1,3,4.5,5,4,,02.04.2023 pomocnik (90'),Polska"
"Rafal Szczeblewski,320511926,16.030,U,122,WC 37,20,World Cup - Round I  Matchday 5,03/01/2025,89,16,-1,-1,3.5,-1,5,8,,04.04.2023 skrzydlowy (90'),Polska"
"Przemyslaw Musiolek,320511947,17.034,,118,WC 36,41,World Cup - Semifinals,09/09/2024,88,16,-1,3.5,-1,4.5,4.5,-1,,29.03.2023 pomocnik (90'),Polska"
"Aleksander Rybarz,320511948,16.079,T,59,WC 37,11,Continental Championship  Matchday 9,15/11/2024,89,9,-1,4,5.5,-1,-1,-1,,30.03.2023 boczny_obronca (90'),Polska"
"Hubert Olbrycht,320511952,17.035,T,84,WC 36,41,World Cup - Semifinals,09/09/2024,88,16,2.5,-1,5,-1,-1,5,,31.03.2023 bramkarz (90'),Polska"
"Gerhard Oven,320511953,17.066,,95,WC 36,34,World Cup - Round III  Matchday 3,09/08/2024,88,11,4.5,1.5,1.5,1,1,0.5,,30.03.2023 boczny_obronca (90'),Polska"
"Tadeusz Miszewski,320511954,16.105,,122,WC 37,7,Continental Championship  Matchday 5,18/10/2024,89,5,-1,4.5,4.5,4.5,5.5,3,,31.03.2023 stoper (90'),Polska"
"Bartosz Koscisz,320511958,17.055,,106,WC 36,36,World Cup - Round IV  Matchday 2,19/08/2024,88,13,-1,4.5,-1,-1,5,5.5,,03.04.2023 napastnik (90'),Polska"
"Jerzy Maras,320511963,17.013,P,38,WC 37,2,Friendly,27/09/2024,89,2,-1,5,6,-1,-1,-1,,04.04.2023 boczny_obronca (90'),Polska"
"Wlodzimierz Deda,320511964,17.002,,72,WC 37,5,Continental Championship  Matchday 3,11/10/2024,89,4,-1,-1,-1,-1,-1,-1,,--------,Polska"
"Waldemar Snopko,320511968,16.027,P,87,WC 37,20,World Cup - Round I  Matchday 5,03/01/2025,89,16,2,4,4.5,-1,5,5.5,,05.04.2023 napastnik (90'),Polska"
"Marek Sobstyl,320511970,16.079,,101,WC 37,11,Continental Championship  Matchday 9,15/11/2024,89,9,-1,5,-1,-1,-1,6.5,,04.04.2023 napastnik (90'),Polska"
"Mateusz Libuda,320511977,16.074,U,108,WC 37,12,Continental Championship  Matchday 10,22/11/2024,89,10,-1,-1,-1,3,4.5,-1,,04.04.2023 skrzydlowy (90'),Polska"
"Konrad Matyasik,320511979,17.021,,51,WC 37,1,Friendly,20/09/2024,89,1,-1,-1,-1,-1,-1,5.5,,31.03.2023 napastnik (90'),Polska"
"Stanislaw Wons,320511987,16.081,,94,WC 37,11,Continental Championship  Matchday 9,15/11/2024,89,9,-1,-1,-1,4,-1,-1,,17.03.2023 boczny_obronca (0'),Polska"
"Tobiasz Zmijowski,320511988,16.023,,59,WC 37,21,World Cup - Round I  Matchday 6,10/01/2025,90,1,-1,-1,-1,5.5,-1,-1,,31.03.2023 pomocnik (90'),Polska"
"Pawel Bardelski,320511994,16.031,,113,WC 37,20,World Cup - Round I  Matchday 5,03/01/2025,89,16,2,4,4,2.5,3.5,4.5,,30.03.2023 napastnik (90'),Polska"
"Ariel Kasperek,320512000,16.078,T,101,WC 37,11,Continental Championship  Matchday 9,15/11/2024,89,9,-1,3.5,-1,-1,-1,-1,,30.03.2023 stoper (90'),Polska"
"Czeslaw Wojciechow,320512008,17.008,,59,WC 37,4,Continental Championship  Matchday 2,07/10/2024,89,4,1.5,4.5,4,-1,4.5,3,,02.04.2023 skrzydlowy (90'),Polska"
"Radociech Krupka,320512009,16.089,,115,WC 37,9,Continental Championship  Matchday 7,01/11/2024,89,7,-1,5,4.5,4,4.5,6,,01.04.2023 stoper (90'),Polska"
"Dariusz Berezowski,320512010,17.028,,115,WC 37,,Final,,,,4.5,3,2.5,1.5,1.5,-1,,10.03.2023 stoper (90'),Polska"
"Witold Bulka,320512012,17.011,,81,WC 37,3,Continental Championship  Matchday 1,04/10/2024,89,3,-1,-1,-1,6.5,-1,-1,,02.04.2023 pomocnik (66'),Polska"
"Oleksandr Vorobei,320512016,16.021,T,115,WC 37,21,World Cup - Round I  Matchday 6,10/01/2025,90,1,-1,5.5,5.5,6,6,4,,05.04.2023 pomocnik (90'),Polska"
"Nikodem Matuszewski,320513295,17.063,,128,WC 36,34,World Cup - Round III  Matchday 3,09/08/2024,88,11,-1,4.5,5.5,2.5,-1,-1,,05.04.2023 stoper (90'),Polska"
"Wojciech Czyz,320513296,16.068,P,128,WC 37,12,Continental Championship  Matchday 10,22/11/2024,89,10,2,5,5,-1,-1,-1,,05.04.2023 boczny_obronca (90'),Polska"
"Ariel Piekosz,320513299,17.009,,128,WC 37,3,Continental Championship  Matchday 1,04/10/2024,89,3,-1,2.5,3,2.5,4.5,-1,,15.03.2023 boczny_obronca (90'),Polska"
"Marcin Bednarczuk,320514241,16.067,,80,WC 37,13,Continental Championship - Quarterfinals,29/11/2024,89,11,-1,-1,-1,5,-1,5.5,,05.04.2023 napastnik (40'),Polska"
