"Wladyslaw Jobczyk,315544206,17.108,,162,WC 36,26,World Cup - Round II  Matchday 1,05/07/2024,88,6,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,--------,Polska"
"Zdzislaw Bajdak,280258387,23.083,,826,WC 36,,Final,,,,-1,-1,-1,2.5,-1,3.5,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,23.05.2021 napastnik (44'),Polska"
"Zdzislaw Dziubek,274134913,23.073,U,826,WC 36,,Final,,,,1.5,-1,-1,3,-1,4,-1.0,-1.0,-1.0,-1.0,-1.0,4.0,31.10.2021 napastnik (90'),Polska"
"Antoni Straszak,319365421,16.061,,87,WC 37,15,Continental Championship - Finals,06/12/2024,89,12,1.5,3,-1,4,-1,-1,1.5,-1.0,-1.0,-1.0,-1.0,-1.0,01.03.2023 bramkarz (90'),Polska"
"Arkadiusz Wiedlocha,323823466,15.082,H,37,WC 37,31,World Cup - Round II  Matchday 6,07/03/2025,90,9,-1,3.5,3.5,-1,-1,5.5,-1.0,-1.0,3.5,-1.0,-1.0,5.5,07.04.2023 napastnik (90'),Polska"
"Gabriel Brancewicz,319041595,17.002,,149,WC 37,7,Continental Championship  Matchday 5,18/10/2024,89,5,1.5,2.5,2.5,3.5,4,6.5,1.5,-1.0,2.5,-1.0,-1.0,6.5,09.03.2023 bramkarz (90'),Polska"
"Ireneusz Abraham,111136029,53.064,,4175,WC 36,,Final,,,,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,--------,Polska"
"Jan Buchwald,321389556,16.058,P,107,WC 37,16,World Cup - Round I  Matchday 1,13/12/2024,89,13,-1,3,-1,5,4,5.5,-1.0,3.0,-1.0,5.0,-1.0,5.5,01.04.2023 pomocnik (90'),Polska"
"Marcel Sobotka,327400149,15.065,,16,WC 37,35,World Cup - Round IV  Matchday 1,28/03/2025,90,12,-1,-1,-1,-1,3.5,4,-1.0,-1.0,-1.0,-1.0,3.5,4.0,07.04.2023 skrzydlowy (90'),Polska"
"Marcin Narog,310526039,18.011,,240,WC 36,24,World Cup - Round I  Matchday 9,21/06/2024,88,4,1.5,4,4.5,7,5,5,-1.0,-1.0,-1.0,5.0,-1.0,4.5,01.03.2023 boczny_obronca (14'),Polska"
"Mariusz Smoter,322197956,16.032,,101,WC 37,21,World Cup - Round I  Matchday 6,10/01/2025,90,1,-1,-1,5,4,5.5,3.5,-1.0,-1.0,5.0,-1.0,5.5,-1.0,07.04.2023 skrzydlowy (90'),Polska"
"Mauryliusz Puzak,324275438,16.018,,65,WC 37,23,World Cup - Round I  Matchday 8,24/01/2025,90,3,1.5,2.5,-1,4,4,-1,1.5,-1.0,-1.0,4.0,-1.0,-1.0,01.04.2023 bramkarz (90'),Polska"
"Michal Dziadosz,320694609,16.068,P,79,WC 37,14,Continental Championship - Semifinals,02/12/2024,89,12,-1,4.5,-1,4.5,5.5,5.5,-1.0,-1.0,-1.0,-1.0,5.5,5.5,07.04.2023 napastnik (90'),Polska"
