Tadeusz Palyski,276023570,23.079,,805,WC 36,,Final,,,,-1,-1,-1,4,-1,-1,-1.0,-1.0,-1.0,4.0,-1.0,-1.0,31.10.2021 pomocnik (90'),Polska,17.04.2023
Waldemar Krzaczkowski,269491476,24.027,,819,WC 36,,Final,,,,-1,-1,3,-1,1.5,-1,-1.0,-1.0,3.0,-1.0,1.5,-1.0,05.09.2021 boczny_obronca (90'),Polska,17.04.2023
Wladyslaw Jobczyk,315544206,18.001,,167,WC 36,26,World Cup - Round II  Matchday 1,05/07/2024,88,6,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,--------,Polska,17.04.2023
Zdzislaw Bajdak,280258387,23.088,,831,WC 36,,Final,,,,-1,-1,-1,2.5,-1,3.5,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,23.05.2021 napastnik (44'),Polska,17.04.2023
Zdzislaw Dziubek,274134913,23.078,U,831,WC 36,,Final,,,,1.5,-1,-1,3,-1,4,-1.0,-1.0,-1.0,-1.0,-1.0,4.0,31.10.2021 napastnik (90'),Polska,17.04.2023
Antoni Straszak,319365421,16.066,,92,WC 37,15,Continental Championship - Finals,06/12/2024,89,12,1.5,3,-1,4,-1,-1,1.5,-1.0,-1.0,-1.0,-1.0,-1.0,01.03.2023 bramkarz (90'),Polska,17.04.2023
Arkadiusz Wiedlocha,323823466,15.087,H,42,WC 37,31,World Cup - Round II  Matchday 6,07/03/2025,90,9,-1,3.5,3.5,-1,-1,5.5,-1.0,-1.0,3.5,-1.0,-1.0,5.5,14.04.2023 napastnik (90'),Polska,17.04.2023
Ireneusz Abraham,111136029,53.069,,4180,WC 36,,Final,,,,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,--------,Polska,17.04.2023
Jan Buchwald,321389556,16.063,P,112,WC 37,16,World Cup - Round I  Matchday 1,13/12/2024,89,13,-1,3,-1,5,4,5.5,-1.0,3.0,-1.0,5.0,-1.0,5.5,01.04.2023 pomocnik (90'),Polska,17.04.2023
Marcel Sobotka,327400149,15.070,,21,WC 37,35,World Cup - Round IV  Matchday 1,28/03/2025,90,12,-1,-1,-1,3,3.5,4,-1.0,-1.0,-1.0,3.0,3.5,4.0,14.04.2023 pomocnik (90'),Polska,17.04.2023
Marcin Narog,310526039,18.016,,245,WC 36,24,World Cup - Round I  Matchday 9,21/06/2024,88,4,1.5,4,4.5,7,5.5,5,-1.0,-1.0,-1.0,5.0,5.5,4.5,14.04.2023 skrzydlowy (90'),Polska,17.04.2023
Mariusz Smoter,322197956,16.037,,106,WC 37,21,World Cup - Round I  Matchday 6,10/01/2025,90,1,-1,-1,5,4,5.5,3.5,-1.0,-1.0,5.0,-1.0,5.5,-1.0,14.04.2023 skrzydlowy (90'),Polska,17.04.2023
Mauryliusz Puzak,324275438,16.023,,70,WC 37,23,World Cup - Round I  Matchday 8,24/01/2025,90,3,1.5,2.5,-1,4,4,-1,1.5,-1.0,-1.0,4.0,-1.0,-1.0,01.04.2023 bramkarz (90'),Polska,17.04.2023
Michal Dziadosz,320694609,16.073,P,84,WC 37,14,Continental Championship - Semifinals,02/12/2024,89,12,-1,4.5,-1,4.5,5.5,5.5,-1.0,-1.0,-1.0,-1.0,5.5,5.5,14.04.2023 napastnik (90'),Polska,17.04.2023
Mieczyslaw Kamyk,320411270,16.029,,140,WC 37,22,World Cup - Round I  Matchday 7,17/01/2025,90,2,2,-1,4.5,5,5,4,1.5,-1.0,4.5,5.0,-1.0,-1.0,14.04.2023 bramkarz (90'),Polska,17.04.2023
Pawel Pakulski,324566127,15.086,,35,WC 37,32,World Cup - Round III  Matchday 1,14/03/2025,90,10,-1,-1,5,4,4.5,4.5,-1.0,-1.0,5.0,4.0,4.5,4.5,14.04.2023 napastnik (90'),Polska,17.04.2023
Piotr Boldys,313916366,18.048,,252,WC 36,19,World Cup - Round I  Matchday 4,17/05/2024,87,15,1,2,2.5,3.5,4.5,6,1.0,-1.0,-1.0,3.5,-1.0,6.0,14.04.2023 pomocnik (90'),Polska,17.04.2023
Piotr Grudowski,317512515,17.053,P,182,WC 36,39,World Cup - Round V  Matchday 2,02/09/2024,88,15,-1,3,2.5,4.5,5,5,-1.0,-1.0,-1.0,4.5,5.0,-1.0,07.04.2023 pomocnik (90'),Polska,17.04.2023
Piotr Panasiewicz,327809214,16.043,,7,WC 37,20,World Cup - Round I  Matchday 5,03/01/2025,89,16,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,--------,Polska,17.04.2023
Radoslaw Tarabasz,327353904,15.043,,14,WC 38,,Final,,,,6,2.5,-1,-1,-1,-1,-1.0,2.5,-1.0,-1.0,-1.0,-1.0,14.04.2023 stoper (90'),Polska,17.04.2023
