"Player,Player ID,Age,Speciality,Days in Academy,WC X,Stage N,Description,Last Match Date,Season,Week,B_GK,B_CD,B_WB,B_IM,B_W,B_F,L_GK,L_CD,L_WB,L_IM,L_W,L_F,Last Match Details,Country,Last update"
"Marcin Mamok,322048830,17.056,,67,WC 37,6,Continental Championship  Matchday 4,14/10/2024,89,5,-1,3,-1,5,-1,-1,-1.0,3.0,-1.0,5.0,-1.0,-1.0,28.05.2023 pomocnik (90'),Polska,01.06.2023"
"Mateusz Jaworski,314314186,17.099,U,238,WC 36,39,World Cup - Round V  Matchday 2,02/09/2024,88,15,1,3.5,3.5,4.5,4,6,-1.0,3.5,-1.0,4.5,4.0,6.0,02.05.2023 stoper (90'),Polska,01.06.2023"
"Mieczyslaw Zawadzki,323556699,16.019,T,109,WC 37,32,World Cup - Round III  Matchday 1,14/03/2025,90,10,-1,4,-1,4.5,5,5,-1.0,4.0,-1.0,4.0,5.0,-1.0,14.05.2023 skrzydlowy (90'),Polska,01.06.2023"
"N. Polyarush,476664042,17.089,,-1,WC 37,,Final,,,,-1,-1,-1,3.5,4.5,7.5,-1.0,-1.0,-1.0,-1.0,4.5,7.5,-----,Polska,01.06.2023"
"Radoslaw Kocis,327570133,16.020,,60,WC 37,31,World Cup - Round II  Matchday 6,07/03/2025,90,9,-1,4,-1,3.5,3.5,5.5,-1.0,4.0,-1.0,3.5,3.5,5.5,28.05.2023 napastnik (90'),Polska,01.06.2023"
"Reiner Ostermayer,318163884,17.036,T,74,WC 37,9,Continental Championship  Matchday 7,01/11/2024,89,7,-1,6,5.5,5,5,5.5,-1.0,6.0,5.5,5.0,5.0,5.5,28.05.2023 stoper (90'),Polska,01.06.2023"
"Arkadiusz Osuch,321525863,17.049,,116,WC 37,7,Continental Championship  Matchday 5,18/10/2024,89,5,2,3,4,3,-1,-1,-1.0,3.0,-1.0,3.0,-1.0,-1.0,26.05.2023 stoper (90'),Polska,01.06.2023"
"Dominik Klusiec,323837856,17.091,P,110,WC 36,41,World Cup - Semifinals,09/09/2024,88,16,-1,3,-1,5,-1,-1,-1.0,3.0,-1.0,5.0,-1.0,-1.0,26.05.2023 stoper (90'),Polska,01.06.2023"
"Henryk Jafernik,320669645,17.029,,89,WC 37,10,Continental Championship  Matchday 8,08/11/2024,89,8,5,1.5,-1,-1,-1,-1,5.0,1.5,-1.0,-1.0,-1.0,-1.0,26.05.2023 stoper (90'),Polska,01.06.2023"
"Jacek Bazant,313675686,17.087,,294,WC 37,,Final,,,,-1,3,-1,-1,5,-1,-1.0,-1.0,-1.0,-1.0,5.0,-1.0,26.05.2023 skrzydlowy (90'),Polska,01.06.2023"
"Jedrzej Jarzabek,310699687,18.053,,287,WC 36,25,World Cup - Round I  Matchday 10,28/06/2024,88,5,1.5,-1,-1,-1,-1,6,1.5,-1.0,-1.0,-1.0,-1.0,6.0,26.05.2023 bramkarz (90'),Polska,01.06.2023"
"Marcin Sarnecki,307828278,19.033,,390,WC 36,10,Continental Championship  Matchday 8,29/03/2024,87,8,-1,-1,-1,-1,6,4.5,-1.0,-1.0,-1.0,-1.0,6.0,-1.0,28.04.2023 skrzydlowy (90'),Polska,01.06.2023"
"Mieczyslaw Wodecki,308888298,18.057,P,213,WC 36,24,World Cup - Round I  Matchday 9,21/06/2024,88,4,-1,3,-1,4,-1,-1,-1.0,2.5,-1.0,4.0,-1.0,-1.0,26.05.2023 pomocnik (90'),Polska,01.06.2023"
"Oskar Golebiewski,327072221,16.063,U,66,WC 37,23,World Cup - Round I  Matchday 8,24/01/2025,90,3,-1,-1,-1,4.5,-1,-1,-1.0,-1.0,-1.0,4.5,-1.0,-1.0,26.05.2023 pomocnik (90'),Polska,01.06.2023"
"Roman Betcher,306092999,19.076,,334,WC 36,1,Friendly,09/02/2024,87,1,-1,-1,3,1.5,-1,-1,-1.0,-1.0,3.0,1.5,-1.0,-1.0,10.03.2023 boczny_obronca (90'),Polska,01.06.2023"
"S. Wojtaszak,476758061,19.097,,-1,WC 36,,Final,,,,-1,-1,4.5,-1,-1,-1,-1.0,-1.0,4.0,-1.0,-1.0,-1.0,-----,Polska,01.06.2023"
