"Jan Borzucki,327504982,15.048,,8,WC 37,39,World Cup - Round V  Matchday 2,14/04/2025,90,15,-1,-1,-1,5,-1,-1,-1.0,-1.0,-1.0,5.0,-1.0,-1.0,04.04.2023 pomocnik (90'),Polska"
"Arek Szymoniak,327505016,16.010,,7,WC 37,23,World Cup - Round I  Matchday 8,24/01/2025,90,3,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,--------,Polska"
"Gwidon Nalewkowicz,327505986,16.032,,0,WC 37,20,World Cup - Round I  Matchday 5,03/01/2025,89,16,-1,-1,-1,-1,4,-1,-1.0,-1.0,-1.0,-1.0,4.0,-1.0,10.04.2023 skrzydlowy (90'),Polska"
"Dominik Lenz,327507034,16.085,,8,WC 37,11,Continental Championship  Matchday 9,15/11/2024,89,9,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,--------,Polska"
"Szymon Rola,327507386,15.068,,12,WC 37,34,World Cup - Round III  Matchday 3,21/03/2025,90,11,-1,-1,-1,-1,-1,4.5,-1.0,-1.0,-1.0,-1.0,-1.0,4.5,07.04.2023 napastnik (90'),Polska"
"Maciej Switala,327507388,16.090,,12,WC 37,10,Continental Championship  Matchday 8,08/11/2024,89,8,-1,-1,-1,2,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,07.04.2023 pomocnik (61'),Polska"
"Dariusz Zawadka,327507390,16.030,,12,WC 37,21,World Cup - Round I  Matchday 6,10/01/2025,90,1,-1,-1,2.5,2,-1,-1,-1.0,-1.0,2.5,2.0,-1.0,-1.0,07.04.2023 boczny_obronca (90'),Polska"
"Mariusz Lagosz,327507391,16.010,,12,WC 37,23,World Cup - Round I  Matchday 8,24/01/2025,90,3,-1,-1,-1,2.5,-1,-1,-1.0,-1.0,-1.0,2.5,-1.0,-1.0,31.03.2023 pomocnik (90'),Polska"
"Tadeusz Dyk,327507392,16.064,,12,WC 37,15,Continental Championship - Finals,06/12/2024,89,12,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,--------,Polska"
"Kamil Sawa,327507393,16.046,,12,WC 37,18,World Cup - Round I  Matchday 3,20/12/2024,89,14,-1,1,-1,-1,-1,-1,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,31.03.2023 stoper (90'),Polska"
"Arkadiusz Hinca,327507394,16.056,,12,WC 37,16,World Cup - Round I  Matchday 1,13/12/2024,89,13,-1,-1,-1,-1,3.5,-1,-1.0,-1.0,-1.0,-1.0,3.5,-1.0,07.04.2023 skrzydlowy (90'),Polska"
"Florian Lepczynski,327507395,16.064,,12,WC 37,15,Continental Championship - Finals,06/12/2024,89,12,-1,2.5,2.5,-1,-1,-1,-1.0,2.5,2.5,-1.0,-1.0,-1.0,07.04.2023 stoper (90'),Polska"
"Jozef Zegarski,327507396,15.087,,12,WC 37,30,World Cup - Round II  Matchday 5,28/02/2025,90,8,-1,-1,-1,-1,-1,2.5,-1.0,-1.0,-1.0,-1.0,-1.0,2.5,07.04.2023 napastnik (90'),Polska"
"Rafal Helisz,327507397,16.085,,12,WC 37,11,Continental Championship  Matchday 9,15/11/2024,89,9,-1,-1,2.5,-1,-1,-1,-1.0,-1.0,2.5,-1.0,-1.0,-1.0,07.04.2023 boczny_obronca (90'),Polska"
"Franciszek Antonczak,327507398,16.058,,12,WC 37,16,World Cup - Round I  Matchday 1,13/12/2024,89,13,-1,-1,3.5,3,-1,-1,-1.0,-1.0,3.5,-1.0,-1.0,-1.0,07.04.2023 pomocnik (29'),Polska"
"Adam Bek,327507399,16.055,,12,WC 37,17,World Cup - Round I  Matchday 2,16/12/2024,89,14,1.5,-1,-1,-1,-1,-1,1.5,-1.0,-1.0,-1.0,-1.0,-1.0,07.04.2023 bramkarz (90'),Polska"
"Marek Runowski,327507400,16.007,,12,WC 37,24,World Cup - Round I  Matchday 9,31/01/2025,90,4,-1,-1,-1,3.5,-1,3.5,-1.0,-1.0,-1.0,3.5,-1.0,3.5,07.04.2023 pomocnik (90'),Polska"
"Przemyslaw Losiak,327507401,16.064,,12,WC 37,15,Continental Championship - Finals,06/12/2024,89,12,0.5,-1,-1,-1,-1,-1,0.5,-1.0,-1.0,-1.0,-1.0,-1.0,31.03.2023 bramkarz (90'),Polska"
"Jacek Tomczykiewicz,327507480,17.008,,12,WC 37,5,Continental Championship  Matchday 3,11/10/2024,89,4,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,--------,Polska"
"Tobiasz Kuzmiak,327507482,16.008,,12,WC 37,24,World Cup - Round I  Matchday 9,31/01/2025,90,4,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,--------,Polska"
"Jedrzej Kuzniar,327507483,16.089,,12,WC 37,10,Continental Championship  Matchday 8,08/11/2024,89,8,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,--------,Polska"
"Szymon Kurzyna,327507486,15.088,,12,WC 37,30,World Cup - Round II  Matchday 5,28/02/2025,90,8,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,--------,Polska"
